KODJAZ,TYPVAZ,AKRCIS1,KODCIS1,CHODNOTA1,TEXT1,AKRCIS2,KODCIS2,CHODNOTA2,TEXT2
"CS","Editaèní vazba","CISMC",44,"547328","Praha-Troja","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547344","Praha 19","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547361","Praha 14","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547379","Praha-Dolní Mìcholupy","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547387","Praha 15","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547395","Praha-Petrovice","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547409","Praha-Štìrboholy","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"547417","Praha 18","CISOB",43,"554782","Praha"
"CS","Editaèní vazba","CISMC",44,"550973","Brno-støed","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"550990","Brno-abovøesky","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551007","Brno-Královo Pole","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551031","Brno-sever","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551058","Brno-idenice","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551066","Brno-Èernovice","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551074","Brno-jih","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551082","Brno-Bohunice","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551091","Brno-Starı Lískovec","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551112","Brno-Novı Lískovec","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551147","Brno-Kohoutovice","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551171","Brno-Jundrov","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551198","Brno-Bystrc","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551210","Brno-Knínièky","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551228","Brno-Komín","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551236","Brno-Medlánky","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551244","Brno-Øeèkovice a Mokrá Hora","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551252","Brno-Malomìøice a Obøany","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551279","Brno-Vinohrady","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551287","Brno-Líšeò","CISOB",43,"582786","Brno"
"CS","Editaèní vazba","CISMC",44,"551295","Brno-Slatina","CISOB",43,"582786","Brno"
